A_1,A_2,A_3,A_4,A_5,A_6,A_7
0.441,4.4263,4.0528,2.4369,3.7568,3.1579,A
3.2609,3.8042,3.5241,0.11423,6.3992,4.4312,A
4.8359,2.5823,5.2403,1.3664,6.9372,3.8307,A
5.8498,2.4457,6.6484,1.8366,7.448,5.8385,A
3.4568,3.8877,6.0416,2.0371,3.9057,5.528,A
5.787,4.7363,7.1316,2.1358,6.9339,5.3807,A
4.8948,5.7218,6.4523,2.0353,2.2209,4.7349,A
1.9617,6.2961,5.8893,3.4653,5.6449,3.8144,A
4.8884,6.3531,0.4756,5.3226,7.4189,5.6889,A
1.8053,5.4048,3.7981,3.5962,5.8377,4.7544,A
6.0723,6.0318,6.581,4.57,8.0117,6.7506,A
5.9292,5.0467,6.9597,3.0903,7.3789,6.9155,A
5.4304,1.7185,6.8116,0.68472,6.2962,5.8996,A
3.2394,1.6992,1.9918,0.63776,4.4866,2.8034,B
3.9096,0.19623,1.6045,0.58856,2.9475,2.7012,B
1.9429,1.774,0.0071624,0.03194,3.7422,3.8446,B
0.066745,0.76467,0.18473,3.5391,4.2683,3.0824,B
2.2486,0.30359,2.5671,1.9772,2.4672,0.39406,B
2.0565,0.87894,2.4989,0.56474,2.4132,3.5186,B
3.5042,0.25368,1.3441,4.1995,6.4943,4.7572,B
3.3056,0.15577,0.9716,0.25233,4.993,4.395,B
0.51912,2.0494,4.158,2.1112,5.7156,3.2149,B
3.1978,1.2758,2.0041,3.4114,5.3625,3.5659,B
4.0451,1.0343,0.1838,2.2269,5.4996,3.4179,B
0.15626,2.6713,3.4659,1.8701,4.6611,5.5158,B
3.6713,2.1527,0.31062,3.0819,4.2786,1.1999,B
2.9989,1.124,2.8345,1.7408,1.3608,2.4085,B
1.2139,0.40817,0.33383,1.3208,1.3917,0.16347,B
1.4526,0.77255,3.0063,2.6961,2.3629,3.4209,B
3.1108,1.6019,2.2095,3.8239,3.59,4.2919,B
2.8302,0.016159,0.53727,2.9204,4.259,3.1088,B
0.72871,0.55905,2.5365,1.2098,2.6981,3.3993,B
1.8323,2.602,4.4019,3.2211,4.7029,2.447,B
3.0063,2.4111,2.3522,1.2614,4.64,2.7264,B
1.0791,0.28614,3.4893,1.9296,5.7891,1.7969,B
0.42311,0.70557,4.3135,0.0090267,3.6999,3.4846,B
2.1034,0.051741,4.4348,1.2681,2.3802,1.026,B
4.0727,2.031,2.7486,2.1887,4.7357,1.7634,B
4.8265,2.1231,2.9877,2.4046,5.1165,2.5737,B
2.0898,0.80495,4.1774,2.3783,3.3389,2.8502,B
4.3391,1.4495,4.5128,1.7794,4.4212,0.03017,B
1.723,2.3401,4.9623,2.1077,2.35,1.3974,B
2.283,0.90807,4.6281,0.98741,2.141,0.043424,B
4.181,2.4676,5.2983,2.6044,2.2981,4.6555,B
1.9962,1.8072,3.6457,0.078577,0.77908,4.278,B
4.5729,1.661,3.225,0.042732,0.25476,4.9125,B
4.2306,1.2101,3.0259,0.38133,2.4916,2.5885,B
2.7739,0.6779,4.1722,0.37974,1.6894,4.2688,B
0.11074,0.63978,3.2506,1.8653,2.9928,2.16,B
3.003,0.58464,2.5362,0.73479,2.9469,3.5859,B
0.32972,0.18605,2.5629,1.0148,0.27748,5.1217,B
3.0482,1.6202,0.80508,0.046561,0.80482,3.4494,B
3.5522,1.5369,0.057876,0.19766,2.6294,3.9441,B
1.1273,1.3794,4.2111,1.073,5.5868,3.2951,B
0.34696,2.1007,0.20048,1.2437,3.166,1.8108,B
